DOEID,ALTHUQ,WALLTYPE,YEARMADE,URBRUR,UGASHERE,TOTSQFT,TOTBASESQFT,TOTATTCSQFT,TOTGARGSQFT,TOTRHMSQFT,TOTHSQFT,TOTUSQFT,BASHSQFT,BASUSQFT,GARHSQFT,GARUSQFT,ATTHSQFT,ATTUSQFT,RHMHSQFT,RHMUSQFT,TOTCSQFT,TOTUCSQFT,BASCSQFT,BASUCSQFT,GARCSQFT,GARUCSQFT,ATTCSQFT,ATTUCSQFT,RHMCSQFT,RHMUCSQFT
1935,9,3,1,4,0,2907,0,0,0,2907,2907,0,0,0,0,0,0,0,2907,0,2907,0,0,0,0,0,0,0,2907,0
1936,9,1,1,1,0,1802,546,0,0,1256,1256,546,0,546,0,0,0,0,1256,0,1081,1802,0,546,0,0,0,0,0,1256
1937,9,7,5,1,0,1035,0,0,0,1035,0,1035,0,0,0,0,0,0,0,1035,259,1035,0,0,0,0,0,0,0,1035
1938,9,3,5,4,1,576,0,0,0,576,576,0,0,0,0,0,0,0,576,0,144,576,0,0,0,0,0,0,0,576
1939,9,2,1,4,0,3718,1200,0,0,2518,3718,0,1200,0,0,0,0,0,2518,0,3718,0,1200,0,0,0,0,0,2518,0
1940,9,3,10,4,0,288,0,0,0,288,288,0,0,0,0,0,0,0,288,0,288,0,0,0,0,0,0,0,288,0
1941,9,3,4,4,1,265,0,0,0,265,265,0,0,0,0,0,0,0,265,0,66,265,0,0,0,0,0,0,0,265
1942,9,5,2,1,1,840,168,0,0,672,672,168,0,168,0,0,0,0,672,0,560,840,0,168,0,0,0,0,0,672
1943,9,1,9,1,1,650,0,0,0,650,650,0,0,0,0,0,0,0,650,0,434,650,0,0,0,0,0,0,0,650
1944,9,2,1,1,1,1901,0,0,0,1901,1901,0,0,0,0,0,0,0,1901,0,1086,1901,0,0,0,0,0,0,0,1901
1945,9,1,5,2,1,529,0,0,0,529,529,0,0,0,0,0,0,0,529,0,353,529,0,0,0,0,0,0,0,529
1946,9,2,1,2,1,750,0,0,0,750,375,375,0,0,0,0,0,0,375,375,188,750,0,0,0,0,0,0,0,750
1947,9,7,2,1,0,646,0,0,0,646,646,0,0,0,0,0,0,0,646,0,162,646,0,0,0,0,0,0,0,646
1948,9,2,1,2,1,2646,882,882,0,882,882,1764,0,882,0,0,0,882,882,0,2646,1764,0,882,0,0,0,882,882,0
1949,9,1,3,4,0,1568,0,0,0,1568,1568,0,0,0,0,0,0,0,1568,0,1568,0,0,0,0,0,0,0,1568,0
1950,9,2,7,3,1,3780,1260,0,400,2120,1060,2720,0,1260,0,400,0,0,1060,1060,3380,1660,0,1260,0,400,0,0,2120,0
1951,9,1,5,1,1,528,0,0,0,528,528,0,0,0,0,0,0,0,528,0,528,0,0,0,0,0,0,0,528,0
1952,9,1,5,3,1,5208,1736,1736,400,1336,1336,3872,0,1736,0,400,0,1736,1336,0,1793,4710,0,1736,0,400,0,1736,498,838
1953,4,1,6,1,1,504,0,0,0,504,504,0,0,0,0,0,0,0,504,0,504,0,0,0,0,0,0,0,504,0
1954,9,7,4,1,1,3281,0,0,400,2881,2521,760,0,0,0,400,0,0,2521,360,2881,400,0,0,0,400,0,0,2881,0
1955,9,1,5,1,1,1186,0,0,0,1186,1186,0,0,0,0,0,0,0,1186,0,1186,0,0,0,0,0,0,0,1186,0
1956,9,1,1,1,1,639,0,0,0,639,639,0,0,0,0,0,0,0,639,0,0,639,0,0,0,0,0,0,0,639
1957,9,3,6,4,1,5814,1938,0,400,3476,2483,3331,0,1938,0,400,0,0,2483,993,1807,4654,0,1938,0,400,0,0,1160,2316
1958,9,1,7,4,0,2716,0,0,400,2316,2316,400,0,0,0,400,0,0,2316,0,896,1820,0,0,0,400,0,0,896,1420
1959,9,1,7,3,1,5292,0,2646,400,2246,2246,3046,0,0,0,400,0,2646,2246,0,4892,3046,0,0,0,400,0,2646,2246,0
1960,9,3,11,4,0,4350,1200,0,250,2900,2900,1450,0,1200,0,250,0,0,2900,0,4100,1450,0,1200,0,250,0,0,2900,0
1961,9,3,5,1,1,1742,0,0,0,1742,1742,0,0,0,0,0,0,0,1742,0,1742,0,0,0,0,0,0,0,1742,0
1962,9,3,4,1,1,2304,1152,0,250,902,1755,549,1123,29,0,250,0,0,631,271,736,858,1123,29,0,250,0,0,323,579
1963,9,3,2,2,1,3266,950,0,250,2066,2066,1200,0,950,0,250,0,0,2066,0,862,3266,0,950,0,250,0,0,0,2066
1964,9,3,3,3,1,2050,1025,0,0,1025,1708,342,1025,0,0,0,0,0,683,342,342,2050,0,1025,0,0,0,0,0,1025
1965,9,3,4,1,1,3040,1013,0,0,2027,2027,1013,0,1013,0,0,0,0,2027,0,1089,2314,0,1013,0,0,0,0,726,1301
1966,9,3,3,1,1,552,110,110,0,331,331,221,0,110,0,0,0,110,331,0,0,552,0,110,0,0,0,110,0,331
1967,9,3,5,3,1,1760,0,0,400,1360,1360,400,0,0,0,400,0,0,1360,0,0,1760,0,0,0,400,0,0,0,1360
1968,2,10,3,1,1,2542,0,1271,0,1271,1271,1271,0,0,0,0,0,1271,1271,0,1525,2542,0,0,0,0,0,1271,0,1271
1969,9,3,4,3,1,2940,918,0,0,2022,2917,23,895,23,0,0,0,0,2022,0,735,2940,0,918,0,0,0,0,0,2022
1970,9,3,8,1,1,3064,855,0,400,1809,2149,915,641,214,0,400,0,0,1508,302,1099,1677,641,214,0,400,0,0,746,1063
1971,9,1,10,4,1,3033,0,1011,0,2022,1654,1379,0,0,0,0,0,1011,1654,368,1101,2299,0,0,0,0,0,1011,734,1288
1972,9,7,10,1,0,728,0,0,0,728,0,728,0,0,0,0,0,0,0,728,728,0,0,0,0,0,0,0,728,0
1973,9,3,5,1,1,6045,0,1960,400,3685,3685,2360,0,0,0,400,0,1960,3685,0,5645,2360,0,0,0,400,0,1960,3685,0
1974,9,2,4,2,0,3538,0,0,0,3538,0,3538,0,0,0,0,0,0,0,3538,1769,3538,0,0,0,0,0,0,0,3538
1975,9,3,5,3,1,3033,658,658,400,1317,1735,1298,658,0,0,400,0,658,1077,239,982,1884,658,0,0,400,0,658,491,826
1976,9,3,6,1,1,806,0,0,0,806,806,0,0,0,0,0,0,0,806,0,806,0,0,0,0,0,0,0,806,0
1977,9,1,7,3,1,2332,0,0,400,1932,1932,400,0,0,0,400,0,0,1932,0,1932,400,0,0,0,400,0,0,1932,0
1978,9,3,3,2,1,1750,850,0,0,900,900,850,0,850,0,0,0,0,900,0,0,1750,0,850,0,0,0,0,0,900
1979,9,3,9,1,1,1706,0,0,400,1306,1306,400,0,0,0,400,0,0,1306,0,1306,400,0,0,0,400,0,0,1306,0
1980,9,4,5,2,1,693,0,0,0,693,347,347,0,0,0,0,0,0,347,347,0,693,0,0,0,0,0,0,0,693
1981,9,1,1,1,1,871,0,0,0,871,871,0,0,0,0,0,0,0,871,0,0,871,0,0,0,0,0,0,0,871
1982,9,1,2,1,1,3459,1419,0,0,2040,3459,0,1419,0,0,0,0,0,2040,0,577,3459,0,1419,0,0,0,0,0,2040
1983,9,4,12,4,1,3360,0,0,650,2710,2710,650,0,0,0,650,0,0,2710,0,2710,0,0,0,650,0,0,0,2710,0
1984,9,4,8,1,1,775,0,0,0,775,258,516,0,0,0,0,0,0,258,516,0,775,0,0,0,0,0,0,0,775
1985,9,1,10,3,1,2375,0,988,400,988,988,1388,0,0,0,400,0,988,988,0,1975,1388,0,0,0,400,0,988,988,0
1986,3,1,7,1,1,1055,0,0,0,1055,1055,0,0,0,0,0,0,0,1055,0,0,1055,0,0,0,0,0,0,0,1055
1987,9,1,5,2,0,720,0,0,0,720,720,0,0,0,0,0,0,0,720,0,229,492,0,0,0,0,0,0,229,492
1988,9,2,6,4,1,800,0,0,400,400,400,400,0,0,0,400,0,0,400,0,400,400,0,0,0,400,0,0,400,0
1989,9,2,1,4,1,1970,0,0,250,1720,983,987,0,0,0,250,0,0,983,737,0,1970,0,0,0,250,0,0,0,1720
1990,9,3,1,2,1,3456,864,864,0,1728,1728,1728,0,864,0,0,0,864,1728,0,1152,3456,0,864,0,0,0,864,0,1728
1991,9,1,6,1,0,457,0,0,0,457,457,0,0,0,0,0,0,0,457,0,457,0,0,0,0,0,0,0,457,0
1992,9,1,5,1,1,1404,0,0,250,1154,1154,250,0,0,0,250,0,0,1154,0,0,1404,0,0,0,250,0,0,0,1154
1993,9,3,5,1,1,3868,1216,0,400,2252,682,3187,0,1216,400,0,0,0,282,1971,3468,1616,0,1216,0,400,0,0,2252,0
1994,9,4,7,1,1,3153,0,1252,650,1252,1252,1902,0,0,0,650,0,1252,1252,0,2503,1902,0,0,0,650,0,1252,1252,0
1995,9,3,8,4,0,896,0,0,0,896,896,0,0,0,0,0,0,0,896,0,896,0,0,0,0,0,0,0,896,0
1996,9,1,1,2,1,754,0,0,0,754,754,0,0,0,0,0,0,0,754,0,452,754,0,0,0,0,0,0,0,754
1997,9,1,6,3,1,4094,2047,0,400,1647,2947,1147,1535,512,0,400,0,0,1412,235,0,4094,0,2047,0,400,0,0,0,1647
1998,9,7,5,1,1,2277,0,0,400,1877,1877,400,0,0,0,400,0,0,1877,0,1877,400,0,0,0,400,0,0,1877,0
1999,9,3,1,4,0,1458,729,0,0,729,729,729,0,729,0,0,0,0,729,0,486,1458,0,729,0,0,0,0,0,729
2000,4,3,5,2,0,858,0,0,0,858,0,858,0,0,0,0,0,0,0,858,858,0,0,0,0,0,0,0,858,0
2001,9,3,10,4,1,1206,0,0,0,1206,1206,0,0,0,0,0,0,0,1206,0,1206,0,0,0,0,0,0,0,1206,0
2002,9,4,5,4,0,2380,0,1190,0,1190,2380,0,0,0,0,0,1190,0,1190,0,397,2380,0,0,0,0,0,1190,0,1190
2003,9,1,8,1,1,961,0,0,0,961,961,0,0,0,0,0,0,0,961,0,961,0,0,0,0,0,0,0,961,0
2004,9,1,10,1,1,3354,0,1677,250,1427,1427,1927,0,0,0,250,0,1677,1427,0,3104,1927,0,0,0,250,0,1677,1427,0
2005,9,2,3,2,0,3250,1170,0,0,2080,2080,1170,0,1170,0,0,0,0,2080,0,1083,3250,0,1170,0,0,0,0,0,2080
2006,9,1,3,3,1,3153,1377,0,400,1377,2524,629,1377,0,0,400,0,0,1147,229,828,1362,1377,0,0,400,0,0,414,962
2007,9,1,1,2,1,634,0,0,0,634,634,0,0,0,0,0,0,0,634,0,381,634,0,0,0,0,0,0,0,634
2008,4,1,4,1,1,625,0,0,0,625,625,0,0,0,0,0,0,0,625,0,313,625,0,0,0,0,0,0,0,625
2009,9,3,12,1,1,2085,1043,0,0,1043,2085,0,1043,0,0,0,0,0,1043,0,348,2085,0,1043,0,0,0,0,0,1043
2010,9,2,9,1,0,1975,0,0,0,1975,0,1975,0,0,0,0,0,0,0,1975,0,1975,0,0,0,0,0,0,0,1975
2011,9,3,4,1,1,470,0,0,0,470,470,0,0,0,0,0,0,0,470,0,470,0,0,0,0,0,0,0,470,0
2012,9,3,5,1,0,299,0,0,0,299,0,299,0,0,0,0,0,0,0,299,0,299,0,0,0,0,0,0,0,299
2013,9,4,5,2,1,768,0,0,0,768,0,768,0,0,0,0,0,0,0,768,0,768,0,0,0,0,0,0,0,768
2014,3,1,6,1,1,4650,1550,0,400,2700,2700,1950,0,1550,0,400,0,0,2700,0,4250,1950,0,1550,0,400,0,0,2700,0
2015,9,1,1,1,1,649,0,0,0,649,649,0,0,0,0,0,0,0,649,0,0,649,0,0,0,0,0,0,0,649
2016,9,3,9,1,0,480,0,0,0,480,480,0,0,0,0,0,0,0,480,0,480,0,0,0,0,0,0,0,480,0
2017,9,2,6,3,0,1545,297,0,0,1248,1248,297,0,297,0,0,0,0,1248,0,1545,297,0,297,0,0,0,0,1248,0
2018,4,3,4,2,1,1827,0,0,0,1827,1827,0,0,0,0,0,0,0,1827,0,812,1827,0,0,0,0,0,0,0,1827
2019,9,3,4,4,1,1953,0,0,0,1953,1953,0,0,0,0,0,0,0,1953,0,1953,0,0,0,0,0,0,0,1953,0
2020,9,3,7,2,1,4550,2275,0,400,1875,4550,0,2275,0,400,0,0,0,1875,0,4150,400,2275,0,0,400,0,0,1875,0
2021,9,3,1,4,0,1669,0,0,0,1669,835,835,0,0,0,0,0,0,835,835,693,976,0,0,0,0,0,0,693,976
2022,3,1,6,2,0,1944,0,972,0,972,972,972,0,0,0,0,0,972,972,0,1944,972,0,0,0,0,0,972,972,0
2023,9,3,1,1,1,3020,1040,0,0,1980,1980,1040,0,1040,0,0,0,0,1980,0,3020,1040,0,1040,0,0,0,0,1980,0
2024,9,1,3,2,1,957,192,0,0,765,765,192,0,192,0,0,0,0,765,0,239,957,0,192,0,0,0,0,0,765
2025,9,4,3,1,1,1780,0,0,400,1380,789,991,0,0,0,400,0,0,789,591,197,1780,0,0,0,400,0,0,0,1380
2026,9,1,5,3,1,3686,1980,0,400,1306,3286,400,1980,0,0,400,0,0,1306,0,0,3686,0,1980,0,400,0,0,0,1306
2027,9,4,11,4,1,2000,0,0,400,1600,1400,600,0,0,0,400,0,0,1400,200,1600,400,0,0,0,400,0,0,1600,0
2028,9,1,3,3,1,1430,432,0,0,998,998,432,0,432,0,0,0,0,998,0,715,1430,0,432,0,0,0,0,0,998
2029,9,2,3,3,0,6111,1637,0,400,4074,2856,3256,819,819,0,400,0,0,2037,2037,1718,4885,0,1637,0,400,0,0,1226,2848
2030,9,3,4,1,1,1417,0,0,0,1417,1180,236,0,0,0,0,0,0,1180,236,1417,0,0,0,0,0,0,0,1417,0
2031,9,4,1,4,0,2652,884,0,0,1768,1768,884,0,884,0,0,0,0,1768,0,1101,1918,0,884,0,0,0,0,734,1034
2032,9,1,3,1,1,1100,0,0,0,1100,1100,0,0,0,0,0,0,0,1100,0,1100,0,0,0,0,0,0,0,1100,0
2033,9,3,7,3,1,3176,676,0,400,2100,2776,400,676,0,0,400,0,0,2100,0,2776,400,676,0,0,400,0,0,2100,0
2034,9,7,3,2,1,1392,0,0,0,1392,1392,0,0,0,0,0,0,0,1392,0,1392,0,0,0,0,0,0,0,1392,0
2035,9,2,7,3,0,6980,1500,0,400,5080,6205,775,1125,375,0,400,0,0,5080,0,6580,775,1125,375,0,400,0,0,5080,0
2036,9,1,4,1,1,2100,1050,0,0,1050,1050,1050,0,1050,0,0,0,0,1050,0,2100,1050,0,1050,0,0,0,0,1050,0
2037,2,2,3,4,1,1792,0,0,0,1792,1792,0,0,0,0,0,0,0,1792,0,1792,0,0,0,0,0,0,0,1792,0
2038,9,3,3,2,1,2214,1107,0,250,857,1134,1080,277,830,0,250,0,0,857,0,1309,2214,0,1107,0,250,0,0,0,857
2039,9,1,6,2,1,712,0,0,0,712,712,0,0,0,0,0,0,0,712,0,178,712,0,0,0,0,0,0,0,712
2040,3,3,6,1,1,865,0,0,0,865,865,0,0,0,0,0,0,0,865,0,0,865,0,0,0,0,0,0,0,865
2041,9,7,1,1,1,899,0,0,0,899,899,0,0,0,0,0,0,0,899,0,899,0,0,0,0,0,0,0,899,0
2042,3,1,8,3,1,2580,0,0,400,2180,2580,0,0,0,400,0,0,0,2180,0,2180,400,0,0,0,400,0,0,2180,0
