DOEID,LRGSTATE,TYPEHUQ,HD65,CD65,KWH,WALLTYPE,YEARMADE,URBRUR,UGASHERE,TOTSQFT,TOTBASESQFT,TOTATTCSQFT,TOTGARGSQFT,TOTRHMSQFT,TOTHSQFT,TOTUSQFT,BASHSQFT,BASUSQFT,GARHSQFT,GARUSQFT,ATTHSQFT,ATTUSQFT,RHMHSQFT,RHMUSQFT,TOTCSQFT,TOTUCSQFT,BASCSQFT,BASUCSQFT,GARCSQFT,GARUCSQFT,ATTCSQFT,ATTUCSQFT,RHMCSQFT,RHMUCSQFT,HBUSNESS,OTHWORK,ATHOME,HHSEX,HHAGE,EMPLOYHH,SPOUSE,SDESCENT,NHSLDMEM,WORKPAY,RETIREPY,CASHBEN,NCASHBEN,MONEYPY,AVGAGEHH,BTUELCDR,BTUELDWH,BTUELFZZ,BTUELRFG,BTUELCOL,BTUELWTH,BTUELSPH,BTUELAPL,BTUNGAPL,BTUNGWTH,BTUNGSPH,CUFEETNG,AGEHHMEM1,AGEHHMEMY
2579,0,2,5294,1195,3844,1,3,2,0,3888,1296,1296,250,1046,1505,2383,1296,0,0,250,0,1296,209,837,3638,1546,1296,0,0,250,0,1296,1046,0,0,0,1,1,87,1,1,0,2,0,1,0,0,6,89,1714,286,0,1678,2556,3399,0,5483,9040,5129,2060,128,87,91
2580,0,2,7206,934,6922,3,5,3,1,3864,120,607,400,2737,2857,1007,120,0,0,400,0,607,2737,0,3464,1007,120,0,0,400,0,607,2737,0,0,0,0,2,51,2,1,0,4,0,0,0,0,20,33.25,0,398,2722,3515,3030,0,0,17073,4938,18189,37378,588,51,13
2581,0,4,5654,1144,2144,1,3,1,1,507,102,0,0,405,405,102,0,102,0,0,0,0,405,0,507,507,0,102,0,0,0,0,0,405,0,0,0,1,23,2,0,0,1,1,0,0,0,6,23,0,0,0,2342,2509,0,0,2463,5126,10547,3873,293,23,48
2582,4,5,142,4494,10846,4,6,2,1,854,0,0,0,854,0,854,0,0,0,0,0,0,0,854,854,0,0,0,0,0,0,0,854,0,0,0,1,2,53,1,1,0,2,0,0,0,1,4,49,0,0,0,3313,15733,7896,1247,8819,6204,15055,2523,352,53,45
2583,0,2,7740,614,5367,3,7,4,0,3840,1520,0,0,2320,3840,0,1520,0,0,0,0,0,2320,0,3840,0,1520,0,0,0,0,0,2320,0,0,0,0,1,79,1,0,0,1,0,1,0,0,5,79,3626,606,0,6320,1472,0,0,10520,6535,14838,9215,81,79,48
2584,0,1,3126,1792,18989,3,10,4,0,1185,0,0,0,1185,1185,0,0,0,0,0,0,0,1185,0,1185,0,0,0,0,0,0,0,1185,0,0,0,1,1,41,1,1,0,3,1,0,0,0,12,35.3333333333333,4601,0,0,1963,16828,12282,9654,24063,5583,14291,9522,249,41,12
2585,0,2,1513,2603,14537,1,6,4,1,1311,0,0,0,1311,1311,0,0,0,0,0,0,0,1311,0,1311,0,0,0,0,0,0,0,1311,0,0,0,0,2,69,1,1,0,2,0,1,0,0,9,67.5,5064,0,5790,4958,22361,0,0,22281,7832,32167,25137,633,69,66
2586,0,2,5709,1489,7462,1,4,3,1,1568,0,0,400,1168,1168,400,0,0,0,400,0,0,1168,0,1168,400,0,0,0,400,0,0,1168,0,0,0,1,2,69,2,1,0,2,1,0,0,0,9,67.5,0,0,0,6626,6181,0,0,12653,11150,29639,97406,1343,69,66
2587,0,2,6024,854,13765,2,1,4,1,7176,1794,1794,0,3588,6279,897,897,897,0,0,1794,0,3588,0,2978,3893,0,1794,0,0,1794,0,1489,2099,1,0,1,1,50,2,1,0,4,1,0,0,0,24,33,0,698,0,6474,5017,0,0,35475,34121,75540,194820,2959,50,13
2588,0,2,2526,2119,6165,4,4,2,1,1200,0,0,250,950,760,440,0,0,0,250,0,0,760,190,950,250,0,0,0,250,0,0,950,0,0,0,0,2,22,0,1,1,3,1,0,0,0,6,16,1164,0,0,1655,7968,0,2008,9404,5453,20188,19121,435,22,4
2589,0,5,4117,1730,7930,1,4,1,1,1672,0,0,0,1672,1672,0,0,0,0,0,0,0,1672,0,676,996,0,0,0,0,0,0,676,996,0,0,0,1,38,2,0,0,3,1,0,0,0,9,19.3333333333333,0,485,0,5320,4159,0,7883,9695,0,11369,0,110,38,8
2590,0,1,4330,1636,21044,3,7,4,0,1280,0,0,0,1280,1280,0,0,0,0,0,0,0,1280,0,1280,0,0,0,0,0,0,0,1280,0,0,0,0,2,35,2,1,0,3,1,0,1,0,8,26.6666666666667,6087,1017,0,4938,18748,16247,0,31869,507,14228,1843,201,35,5
2591,0,1,6420,230,5156,3,5,4,0,812,0,0,0,812,812,0,0,0,0,0,0,0,812,0,232,812,0,0,0,0,0,0,0,812,0,0,1,1,32,1,1,1,4,1,0,0,0,6,23,0,0,1853,1556,479,4994,1050,9513,8145,884,18,353,32,7
2592,0,2,5632,1584,10185,1,3,3,1,1776,0,0,0,1776,1776,0,0,0,0,0,0,0,1776,0,1776,0,0,0,0,0,0,0,1776,0,0,0,0,2,48,2,0,0,1,1,0,0,0,16,48,0,636,0,12224,4121,0,0,18406,21739,34268,124377,1753,48,7
2593,0,2,4388,1576,13329,3,9,3,1,4743,1181,0,400,3162,4313,430,1151,30,0,400,0,0,3162,0,4343,430,1151,30,0,400,0,0,3162,0,1,0,1,2,37,2,1,0,4,1,0,0,0,19,21.75,3669,613,0,3523,13606,0,0,28350,4942,19885,26103,495,37,4
2594,0,2,6917,1015,5407,3,6,1,1,3250,1625,0,400,1225,459,2791,0,1625,0,400,0,0,459,766,0,3250,0,1625,0,400,0,0,0,1225,0,0,0,2,32,2,0,0,1,1,0,0,0,10,32,2235,0,0,2298,0,3444,5895,6812,6453,8969,6215,212,32,38
2595,0,5,5743,651,14265,1,6,4,1,623,0,0,0,623,623,0,0,0,0,0,0,0,623,0,236,387,0,0,0,0,0,0,236,387,0,0,1,1,79,1,0,0,1,0,1,0,1,3,79,0,0,0,8322,3545,9077,20957,6771,48,9313,3194,75,79,6
2596,0,1,5155,1066,10908,3,6,2,1,768,0,0,0,768,768,0,0,0,0,0,0,0,768,0,614,768,0,0,0,0,0,0,0,768,0,0,1,1,21,1,1,1,3,1,0,0,0,6,21,6538,0,0,6722,4917,0,0,25579,4695,17383,36678,571,21,19
2597,0,2,1518,2594,9415,1,8,2,1,1274,0,0,0,1274,1274,0,0,0,0,0,0,0,1274,0,364,1274,0,0,0,0,0,0,0,1274,0,0,1,2,27,2,1,0,5,1,0,0,1,2,12.6,0,0,0,3815,6337,0,0,21972,7133,13564,12128,319,27,1
2598,0,2,5414,1106,21058,4,13,4,1,4074,2037,0,650,1387,2915,1159,1528,509,0,650,0,0,1387,0,3424,1159,1528,509,0,650,0,0,1387,0,0,0,1,1,30,1,1,0,6,1,0,0,0,22,12.3333333333333,10384,950,6502,4112,17275,0,0,50463,8779,36731,43499,865,30,1
2599,0,2,4655,749,9342,2,9,4,0,4536,1800,0,0,2736,4536,0,1800,0,0,0,0,0,2736,0,4536,0,1800,0,0,0,0,0,2736,0,1,0,0,2,61,2,1,0,8,1,0,0,0,7,38.125,1639,263,3596,2977,2906,0,5572,20420,7334,17182,3387,213,61,16
2600,3,2,1737,2454,22390,4,9,4,0,2368,0,0,0,2368,2368,0,0,0,0,0,0,0,2368,0,2368,0,0,0,0,0,0,0,2368,0,0,0,1,1,50,1,1,0,2,1,0,0,0,19,50,7882,721,0,7027,20046,13324,8578,27419,6410,9941,2209,131,50,50
2601,0,2,7190,814,27801,3,8,4,0,4737,1260,0,400,3077,4022,715,945,315,0,400,0,0,3077,0,4337,715,945,315,0,400,0,0,3077,0,0,0,0,1,46,2,1,0,3,1,0,0,0,24,37.6666666666667,6372,1021,6990,16641,5807,23111,4090,45208,6407,3435,7479,306,46,21
2602,0,2,4425,1413,9371,3,4,2,1,1968,0,0,400,1568,1568,400,0,0,0,400,0,0,1568,0,1568,400,0,0,0,400,0,0,1568,0,0,0,0,1,55,2,1,0,2,1,0,0,0,17,55,1741,509,3487,2986,9024,0,0,19964,0,20617,35361,544,55,55
2603,0,2,4203,809,9522,3,8,4,0,4480,0,2240,250,1990,1990,2490,0,0,0,250,0,2240,1990,0,4230,2490,0,0,0,250,0,2240,1990,0,0,0,0,2,32,2,1,0,2,1,0,0,0,18,32,2931,489,0,2226,5964,6387,0,17912,4804,1083,5151,191,32,32
2604,0,2,1989,3022,2793,2,5,2,1,1520,0,760,0,760,760,760,0,0,0,0,0,760,760,0,0,1520,0,0,0,0,0,760,0,760,0,0,1,1,77,1,0,0,1,0,1,0,0,5,77,0,0,0,3194,0,3483,0,2853,0,0,51554,501,77,39
2605,0,3,6011,1254,7515,1,13,3,1,1556,578,0,400,578,578,978,0,578,0,400,0,0,578,0,1156,978,0,578,0,400,0,0,578,0,0,0,1,1,81,1,0,0,2,1,1,0,0,6,55,0,559,0,7294,5931,0,0,12415,11642,25820,50892,859,81,29
2606,2,2,923,657,10064,4,4,1,1,1431,0,0,250,1181,1181,250,0,0,0,250,0,0,1181,0,236,1431,0,0,0,250,0,0,0,1181,0,0,1,1,28,1,1,1,6,1,0,1,1,11,13.5,4940,452,3093,2474,751,0,3123,27990,0,81394,0,791,28,2
2607,0,2,5189,1261,17112,3,10,1,1,4660,1323,0,400,2937,4260,400,1323,0,0,400,0,0,2937,0,4260,400,1323,0,0,400,0,0,2937,0,0,0,0,2,34,2,1,0,4,1,0,0,0,24,21.75,3951,660,0,5705,14487,0,5595,32599,0,54296,76068,1267,34,8
2608,0,5,3149,1374,4660,1,4,1,1,1229,0,0,0,1229,1229,0,0,0,0,0,0,0,1229,0,1229,0,0,0,0,0,0,0,1229,0,0,0,0,1,29,2,0,0,1,0,0,0,0,9,29,908,266,0,1356,2835,2453,3411,5845,3451,15809,5722,167,29,44
2609,0,2,3563,1779,11570,1,1,1,1,3176,216,1280,400,1280,1280,1896,0,216,0,400,0,1280,1280,0,1851,3176,0,216,0,400,0,1280,0,1280,1,0,1,2,58,1,1,0,2,1,0,1,0,7,55,4174,0,0,4292,12443,0,0,22742,3744,15375,38196,557,58,52
2610,4,2,426,3719,22176,7,5,1,0,1278,0,0,250,1028,1028,250,0,0,0,250,0,0,1028,0,1028,250,0,0,0,250,0,0,1028,0,0,0,0,2,40,2,1,0,4,1,0,0,0,10,23.5,6087,557,3812,5167,25527,10276,2543,32153,3226,13609,1408,246,40,8
2611,2,5,2139,1419,4594,2,5,1,1,825,0,0,0,825,413,413,0,0,0,0,0,0,413,413,0,825,0,0,0,0,0,0,0,825,0,0,0,1,20,2,1,1,2,1,0,0,0,10,20,0,495,0,1264,0,9143,0,5268,0,0,7409,72,20,20
2612,0,2,4550,1606,9221,3,10,2,1,3754,1877,0,400,1477,2416,1339,939,939,0,400,0,0,1477,0,3354,1339,939,939,0,400,0,0,1477,0,0,0,1,1,64,0,1,0,2,1,1,0,0,7,74.5,3506,586,0,2662,10338,0,0,18462,0,15643,27987,424,64,85
2613,0,2,3147,1742,42252,1,9,4,1,7237,1755,1394,650,3438,1375,5862,0,1755,0,650,0,1394,1375,2063,1982,6202,0,1755,0,650,0,1394,1035,2403,0,0,0,1,53,1,1,0,2,1,0,0,0,24,48,7994,1335,0,28146,18700,17422,17930,61966,4621,809,8119,138,53,43
2614,3,2,1590,2856,26970,6,5,3,1,4992,0,1664,0,3328,3744,1248,0,0,0,0,416,1248,3328,0,4992,0,0,0,0,0,1664,0,3328,0,0,0,1,1,33,1,1,0,4,1,0,0,0,15,18.75,5664,518,4497,4872,22372,12984,6986,44809,0,0,0,0,33,3
2615,0,2,9545,15,7708,2,5,1,1,2742,0,0,400,2342,2742,0,0,0,400,0,0,0,2342,0,0,2742,0,0,0,400,0,0,0,2342,0,0,0,1,50,2,1,0,2,1,0,0,0,24,50,0,610,4179,12319,0,0,0,13981,13224,25476,159897,1930,50,50
2616,3,2,2677,2250,10379,2,8,4,1,1372,0,0,0,1372,1372,0,0,0,0,0,0,0,1372,0,1372,0,0,0,0,0,0,0,1372,0,0,0,1,2,66,0,1,0,2,0,1,0,0,24,66.5,3479,581,3978,3181,11841,0,0,20389,0,21235,24967,449,66,67
2617,0,5,7545,365,3376,3,1,1,1,460,0,0,0,460,460,0,0,0,0,0,0,0,460,0,460,460,0,0,0,0,0,0,0,460,0,0,0,1,23,2,1,0,2,1,0,0,0,12,23,0,0,0,2745,591,0,0,8183,746,10494,4386,175,23,23
2618,0,4,6231,855,4367,3,3,1,1,682,325,0,0,357,682,0,325,0,0,0,0,0,357,0,341,682,0,325,0,0,0,0,0,357,0,0,0,2,35,2,0,0,1,1,0,1,0,14,35,1996,0,0,3558,888,0,0,10454,3371,16924,50089,684,35,6
2619,0,1,4252,1443,20123,3,9,4,1,1152,0,0,0,1152,1152,0,0,0,0,0,0,0,1152,0,1152,0,0,0,0,0,0,0,1152,0,0,0,0,2,34,2,1,0,3,1,0,0,1,12,27.6666666666667,4728,790,0,4628,10853,12620,11772,28787,4735,1765,8092,287,34,15
2620,2,2,1305,340,8613,4,10,1,1,2475,0,1038,400,1038,1038,1438,0,0,0,400,0,1038,1038,0,0,2475,0,0,0,400,0,1038,0,1038,0,0,1,1,39,0,1,0,4,1,0,0,0,24,26,0,949,0,4315,0,0,0,25071,15824,30430,9003,537,39,9
2621,0,1,1265,3424,12046,3,8,4,0,1248,0,0,0,1248,1248,0,0,0,0,0,0,0,1248,0,499,1248,0,0,0,0,0,0,0,1248,0,0,1,1,22,2,1,0,4,1,0,0,1,18,12.5,5489,0,0,2887,12583,8884,0,16747,6662,13923,4726,191,22,1
2622,0,2,5501,1055,19380,1,4,1,1,2824,36,0,250,2538,2574,250,36,0,0,250,0,0,2538,0,2574,250,36,0,0,250,0,0,2538,0,0,0,1,1,69,1,1,0,5,0,1,0,1,10,41.2,5192,867,0,10677,16879,0,2980,35589,0,27332,65690,904,69,11
2623,0,2,4400,1556,17180,4,9,4,0,1296,0,0,0,1296,1296,0,0,0,0,0,0,0,1296,0,1296,0,0,0,0,0,0,0,1296,0,0,0,1,1,23,1,1,0,2,1,0,0,0,15,23,4327,723,0,6705,11146,9430,11199,20138,7342,12179,6891,119,23,23
2624,2,2,609,1608,3503,4,4,1,1,1905,0,0,400,1505,301,1604,0,0,0,400,0,0,301,1204,0,1905,0,0,0,400,0,0,0,1505,0,0,0,1,25,2,1,1,4,1,0,0,0,16,17.25,0,249,0,1364,0,0,0,10588,3121,24726,2406,294,25,7
2625,0,3,5018,1297,15327,1,7,2,0,1955,600,0,0,1355,1955,0,600,0,0,0,0,0,1355,0,1955,0,600,0,0,0,0,0,1355,0,0,0,0,2,26,2,0,0,3,1,0,0,0,21,19.3333333333333,2931,490,0,4821,7073,11080,8169,21153,3747,13803,8514,275,26,8
2626,0,2,4241,1812,10036,1,6,4,0,4980,2490,0,0,2490,4980,0,2490,0,0,0,0,0,2490,0,4980,0,2490,0,0,0,0,0,2490,0,1,1,1,1,62,2,1,0,2,1,1,0,0,11,62,2071,346,2368,5117,7524,0,0,21602,7760,3867,504,131,62,62
2627,0,4,2051,2485,2169,1,7,1,1,930,0,0,0,930,930,0,0,0,0,0,0,0,930,0,930,0,0,0,0,0,0,0,930,0,0,0,1,1,62,1,0,0,1,0,1,0,0,6,62,678,0,0,1222,2963,0,463,2753,3640,18275,21715,424,62,32
2628,0,5,1628,3507,7587,7,4,1,0,300,0,0,0,300,300,0,0,0,0,0,0,0,300,0,300,300,0,0,0,0,0,0,0,300,0,0,1,2,34,2,1,0,2,1,0,0,0,10,34.5,0,0,0,2953,6538,6573,3663,6161,581,13054,7366,189,34,35
2629,0,2,6692,244,3938,4,1,2,1,2738,1369,0,0,1369,1369,1369,0,1369,0,0,0,0,1369,0,0,2738,0,1369,0,0,0,0,0,1369,0,0,1,1,25,0,0,0,2,1,0,0,0,5,25,0,0,0,2949,0,0,0,10487,11611,29475,90754,1281,25,25
2630,0,2,8487,325,5898,3,7,4,0,1647,795,0,0,852,1647,0,795,0,0,0,0,0,852,0,0,1647,0,795,0,0,0,0,0,852,0,0,1,1,65,1,1,0,2,0,1,0,1,3,65,0,0,4120,1538,0,7148,0,11438,6560,4633,8307,79,65,65
2631,0,2,5199,1082,18573,3,9,4,0,1820,0,0,0,1820,1820,0,0,0,0,0,0,0,1820,0,1820,0,0,0,0,0,0,0,1820,0,0,0,0,1,47,2,1,0,4,1,1,0,0,12,29.5,3242,542,4700,5278,7758,9993,10152,30190,1148,12602,2916,335,47,9
2632,0,2,5684,859,9067,5,1,2,0,7280,1820,1820,0,3640,2600,4680,0,1820,0,0,0,1820,2600,1040,7280,3640,0,1820,0,0,0,1820,3640,0,0,0,1,2,44,1,1,0,4,1,0,0,0,12,30.75,1715,0,0,2747,3195,9258,0,15737,8062,8076,1194,133,44,16
2633,0,4,4323,1612,4406,1,5,1,1,550,0,0,0,550,550,0,0,0,0,0,0,0,550,0,183,550,0,0,0,0,0,0,0,550,0,0,0,1,33,2,0,0,1,1,0,0,0,10,33,0,0,5072,2626,2100,0,0,10308,2547,4843,39327,454,33,32
2634,0,2,5910,949,11576,2,10,4,0,6050,1480,1480,400,2690,2690,3360,0,1480,0,400,0,1480,2690,0,5650,3360,0,1480,0,400,0,1480,2690,0,0,0,1,1,29,2,0,0,5,1,0,0,0,7,13.2,1704,499,0,8208,5697,0,0,25592,9160,17689,35,96,29,1
2635,0,4,5701,939,4079,2,1,1,1,1286,247,0,0,1039,1039,247,0,247,0,0,0,0,1039,0,429,1286,0,247,0,0,0,0,0,1039,0,0,0,2,31,2,1,0,2,1,0,0,0,24,30.5,0,0,0,4183,1549,0,0,8186,5453,10369,87835,1007,31,30
2636,2,2,1158,1082,7442,4,5,1,1,1174,0,0,400,774,774,400,0,0,0,400,0,0,774,0,774,400,0,0,0,400,0,0,774,0,0,0,1,1,76,1,0,1,3,1,1,0,0,16,55.6666666666667,3011,503,0,2286,2685,0,3471,16950,0,31076,0,302,76,35
2637,0,2,9477,25,3385,2,4,3,1,2300,0,0,0,2300,2300,0,0,0,0,0,0,0,2300,0,0,2300,0,0,0,0,0,0,0,2300,0,0,0,1,33,0,1,0,2,1,0,0,0,12,33,0,593,0,3475,0,0,0,8075,14500,27934,130129,1677,33,33
2638,1,3,5090,1177,12309,1,1,1,1,2018,615,0,0,1403,2018,0,615,0,0,0,0,0,1403,0,404,2018,0,615,0,0,0,0,0,1403,0,0,1,1,64,1,0,0,1,0,1,0,0,5,64,0,0,0,14976,11251,0,0,15771,4754,9042,121312,1313,64,14
2639,1,5,4838,1521,7674,4,7,1,1,1341,0,0,0,1341,1341,0,0,0,0,0,0,0,1341,0,1341,0,0,0,0,0,0,0,1341,0,0,0,1,2,30,2,1,1,3,1,0,0,0,16,23,3431,573,0,2606,4448,0,0,19130,5637,20868,23607,487,30,3
2640,2,2,2246,1177,5894,4,3,1,1,1656,0,0,400,1256,1256,400,0,0,0,400,0,0,1256,0,378,1278,0,0,0,400,0,0,378,878,0,0,1,2,72,1,0,0,2,0,1,0,0,7,59,2822,471,3226,4373,1351,0,0,14386,4300,17659,18687,395,72,46
2641,4,2,772,3208,20075,7,5,1,0,2160,0,0,400,1760,1760,400,0,0,0,400,0,0,1760,0,1760,400,0,0,0,400,0,0,1760,0,0,0,0,1,48,2,1,0,3,1,0,0,0,23,37,3573,597,5179,3498,24168,9536,2085,29209,5533,8575,1728,136,48,16
2642,0,2,6023,877,3749,1,4,1,1,2240,0,0,400,1840,1227,1013,0,0,0,400,0,0,1227,613,1840,400,0,0,0,400,0,0,1840,0,0,0,1,1,71,1,0,0,1,0,1,0,0,8,71,1618,473,0,2775,1530,0,0,8487,0,22197,71282,908,71,47
2643,0,2,5435,1282,11741,4,12,3,1,9232,2886,1521,650,4175,7061,2171,2886,0,0,650,0,1521,4175,0,8582,5057,0,2886,0,650,0,1521,4175,0,0,0,1,2,55,2,1,0,2,1,0,0,0,24,55,0,636,0,5293,13064,0,0,21703,19170,36932,72523,1250,55,55
2644,1,2,5544,1086,5954,3,1,3,1,1416,0,0,0,1416,1416,0,0,0,0,0,0,0,1416,0,850,1416,0,0,0,0,0,0,0,1416,0,0,1,1,25,1,1,0,5,1,0,0,0,18,11.6,0,611,0,1562,3913,0,0,14840,11642,31807,85896,1257,25,1
2645,0,2,5830,1228,16534,1,4,3,1,2790,1395,0,400,995,2390,400,1395,0,0,400,0,0,995,0,2390,1795,0,1395,0,400,0,0,995,0,0,0,1,2,50,2,1,0,4,1,0,0,0,13,33,0,894,0,15273,10450,0,0,30691,9849,36279,79394,1220,50,15
2646,0,2,3576,1765,14646,3,13,4,0,4032,944,0,400,2688,3396,636,708,236,0,400,0,0,2688,0,3632,636,708,236,0,400,0,0,2688,0,0,0,0,1,65,0,0,0,1,1,1,0,0,11,65,3413,570,3901,4928,8596,3644,10566,22238,2082,2159,5841,256,65,20
2647,0,2,7344,754,15382,3,3,1,1,2484,992,0,250,1242,1738,746,496,496,0,250,0,0,1242,0,1117,2484,0,992,0,250,0,0,0,1242,1,0,1,2,29,2,1,0,3,1,0,0,0,18,19.3333333333333,2307,675,0,6577,2946,15275,2725,24960,1743,17952,1975,220,29,2
2648,1,2,5679,1013,7064,3,5,3,0,2350,1032,0,250,1068,2100,250,1032,0,0,250,0,0,1068,0,700,2350,0,1032,0,250,0,0,0,1068,0,0,1,2,31,2,1,1,5,1,0,0,0,15,25.8,3059,511,0,5332,2084,0,0,16686,6226,1516,7790,182,31,7
2649,0,1,4622,115,20228,3,8,2,0,1404,0,0,0,1404,1404,0,0,0,0,0,0,0,1404,0,0,1404,0,0,0,0,0,0,0,1404,0,0,1,1,30,2,0,0,5,1,0,0,1,9,27.2,0,935,0,4544,0,18675,15181,30618,3439,17674,7241,359,30,5
2650,0,5,4636,1508,2521,2,6,2,0,617,0,0,0,617,617,0,0,0,0,0,0,0,617,0,0,617,0,0,0,0,0,0,0,617,0,0,1,1,28,2,0,1,2,1,0,0,0,5,23.5,0,185,0,1082,0,2408,2532,2580,9158,1336,3897,47,28,19
2651,0,2,1686,3372,11832,4,9,1,1,2240,0,1120,400,720,720,1520,0,0,0,400,0,1120,720,0,1840,1520,0,0,0,400,0,1120,720,0,1,0,0,2,43,2,0,0,1,1,0,0,0,14,43,0,498,0,4188,17496,0,2162,16525,13993,45895,0,582,43,9
2652,0,5,3243,2045,8927,1,7,1,0,702,0,0,0,702,702,0,0,0,0,0,0,0,702,0,702,0,0,0,0,0,0,0,702,0,0,0,0,1,23,2,0,0,1,1,0,0,0,6,23,3179,531,0,2555,2931,4899,6083,13991,4341,14075,2649,95,23,46
2653,0,2,6169,996,7836,3,2,1,1,1863,0,0,0,1863,1863,0,0,0,0,0,0,0,1863,0,745,1863,0,0,0,0,0,0,0,1863,0,0,1,1,80,2,1,0,2,1,1,0,0,5,78.5,0,0,0,11403,3357,0,0,11976,9280,23555,95348,1246,80,77
2654,0,2,3067,2169,7486,1,2,1,1,2490,0,623,0,1868,1121,1370,0,0,0,0,0,623,1121,747,2490,623,0,0,0,0,0,623,1868,0,0,0,0,1,41,2,1,0,3,1,0,0,0,3,32,2551,426,0,1143,10740,0,0,13660,0,26577,31253,562,41,15
2655,2,2,1273,1552,14089,4,5,1,1,2274,0,72,650,1552,1552,722,0,0,0,650,0,72,1552,0,1624,722,0,0,0,650,0,72,1552,0,0,1,0,2,61,2,1,0,2,1,0,0,0,24,61,0,501,4351,3715,4874,0,0,39483,18021,18812,8855,444,61,61
2656,0,2,1618,3462,15438,3,4,1,0,1244,0,0,400,844,1244,0,0,0,400,0,0,0,844,0,844,0,0,0,400,0,0,0,844,0,0,1,1,2,32,2,1,1,4,0,0,0,0,8,23.5,0,504,0,1287,17732,9297,4259,20099,774,16759,5545,82,32,8
2657,3,5,2029,3007,7294,1,5,2,1,625,0,0,0,625,625,0,0,0,0,0,0,0,625,0,625,0,0,0,0,0,0,0,625,0,0,0,1,1,36,1,0,0,1,0,0,0,0,3,36,2325,388,0,1886,8805,3582,3559,7055,5125,3161,5701,8,36,33
2658,2,2,1169,1037,10228,4,5,1,1,1350,0,0,0,1350,1350,0,0,0,0,0,0,0,1350,0,0,1350,0,0,0,0,0,0,0,1350,0,0,0,2,56,2,1,1,4,1,0,0,0,21,35.5,0,562,0,3297,0,0,0,31601,5305,48859,22085,741,56,4
2659,3,2,1897,2699,11240,1,5,1,1,1959,0,0,400,1559,1559,400,0,0,0,400,0,0,1559,0,1559,400,0,0,0,400,0,0,1559,0,0,0,0,1,32,2,1,1,5,1,0,0,0,23,14.4,1874,313,0,2707,12581,8513,0,14550,0,0,47540,462,32,1
2660,4,3,516,3547,19496,4,10,1,1,1840,0,0,400,1440,1440,400,0,0,0,400,0,0,1440,0,1440,400,0,0,0,400,0,0,1440,0,1,0,1,1,52,2,0,0,1,1,0,0,0,8,52,3793,634,0,5478,26383,8279,3500,22880,4856,13235,6890,136,52,35
2661,3,5,1311,3182,5818,1,5,1,1,811,0,0,0,811,811,0,0,0,0,0,0,0,811,0,405,811,0,0,0,0,0,0,0,811,0,0,1,1,49,2,0,1,4,0,0,0,1,5,38.5,0,0,0,4591,5618,0,0,9642,0,43077,18046,594,49,9
2662,0,2,3058,2037,19711,1,4,3,1,1107,0,0,0,1107,1107,0,0,0,0,0,0,0,1107,0,1107,0,0,0,0,0,0,0,1107,0,0,0,1,2,40,2,1,0,4,1,1,0,0,16,28.75,7408,0,0,3897,17490,17711,0,28155,5035,0,17509,219,40,13
2663,1,5,6380,1042,3269,1,8,3,1,803,0,0,0,803,803,0,0,0,0,0,0,0,803,0,0,803,0,0,0,0,0,0,0,803,0,0,0,2,47,2,0,0,1,0,0,0,0,10,47,0,499,0,2400,0,0,0,8754,0,6358,33876,391,47,10
2664,4,2,1217,2512,16050,10,13,1,1,6936,0,3468,400,3068,3935,3001,0,0,0,400,867,2601,3068,0,6536,3868,0,0,0,400,0,3468,3068,0,0,0,0,1,30,2,1,0,3,1,0,0,0,18,20.6666666666667,3697,617,0,2673,22405,0,6878,22807,0,36694,0,357,30,1
2665,0,2,5221,861,12047,2,5,3,1,3128,1130,0,400,1598,2728,400,1130,0,0,400,0,0,1598,0,2728,400,1130,0,0,400,0,0,1598,0,0,0,1,2,68,1,1,0,2,0,1,0,0,9,67,0,874,5983,6160,7408,0,0,27536,0,20166,38178,567,68,66
2666,0,5,6784,658,6818,1,6,4,0,723,0,0,0,723,723,0,0,0,0,0,0,0,723,0,181,723,0,0,0,0,0,0,0,723,0,0,0,2,27,2,0,0,1,1,0,0,0,15,27,0,0,0,2660,1304,5053,9070,5176,698,15877,1502,228,27,23
2667,0,5,7,4097,8192,4,6,1,0,1102,0,0,0,1102,0,1102,0,0,0,0,0,0,0,1102,1102,0,0,0,0,0,0,0,1102,0,0,0,1,2,84,1,1,0,2,0,1,0,0,15,74.5,2306,385,0,4020,9943,6478,0,7510,4807,12873,4654,332,84,65
2668,0,2,4504,1465,11798,3,1,4,0,1568,560,0,0,1008,1568,0,560,0,0,0,0,0,1008,0,314,1568,0,560,0,0,0,0,0,1008,0,0,1,2,38,1,0,0,1,0,1,1,1,4,38,4580,0,0,1954,6952,7058,11087,13203,1855,6286,8476,43,38,45
2669,0,2,9903,0,6683,2,6,2,1,1071,0,0,0,1071,1071,0,0,0,0,0,0,0,1071,0,0,1071,0,0,0,0,0,0,0,1071,1,0,0,1,47,2,0,0,2,1,1,0,0,9,30,0,0,4479,2483,0,0,2413,17906,3363,22355,84179,1068,47,13
2670,0,2,1261,3451,14742,1,5,1,1,2016,0,1008,0,1008,1008,1008,0,0,0,0,0,1008,1008,0,2016,1008,0,0,0,0,0,1008,1008,0,1,0,1,1,65,1,1,0,2,0,1,0,0,11,66,4909,449,6147,7093,15892,0,0,27315,0,23998,10971,340,65,67
