DOEID,LRGSTATE,TYPEHUQ,HD65,CD65,KWH,WALLTYPE,YEARMADE,URBRUR,UGASHERE,TOTSQFT,TOTBASESQFT,TOTATTCSQFT,TOTGARGSQFT,TOTRHMSQFT,TOTHSQFT,TOTUSQFT,BASHSQFT,BASUSQFT,GARHSQFT,GARUSQFT,ATTHSQFT,ATTUSQFT,RHMHSQFT,RHMUSQFT,TOTCSQFT,TOTUCSQFT,BASCSQFT,BASUCSQFT,GARCSQFT,GARUCSQFT,ATTCSQFT,ATTUCSQFT,RHMCSQFT,RHMUCSQFT,HBUSNESS,OTHWORK,ATHOME,HHSEX,HHAGE,EMPLOYHH,SPOUSE,SDESCENT,NHSLDMEM,WORKPAY,RETIREPY,CASHBEN,NCASHBEN,MONEYPY,AVGAGEHH,BTUELCDR,BTUELDWH,BTUELFZZ,BTUELRFG,BTUELCOL,BTUELWTH,BTUELSPH,BTUELAPL,BTUNGAPL,BTUNGWTH,BTUNGSPH,CUFEETNG,AGEHHMEM1,AGEHHMEMY
755,1,2,5541,1050,9221,5,5,3,0,3600,616,0,400,2584,2584,1016,0,616,0,400,0,0,2584,0,3200,1016,0,616,0,400,0,0,2584,0,0,0,1,2,72,2,1,0,2,1,1,0,0,19,72,3545,592,0,3404,7976,0,0,20082,5308,1854,2997,298,72,72
756,0,5,5628,1019,8119,1,5,3,1,776,0,0,0,776,776,0,0,0,0,0,0,0,776,0,246,530,0,0,0,0,0,0,246,530,0,0,0,1,57,1,0,1,1,0,0,1,1,2,57,0,0,0,4170,4319,0,6327,12886,3253,6187,37196,453,57,15
757,0,3,6655,813,11864,3,4,1,1,1440,720,0,0,720,720,720,0,720,0,0,0,0,720,0,360,1440,0,720,0,0,0,0,0,720,0,0,1,1,25,2,0,0,4,1,0,1,1,7,14.25,0,0,0,3129,3547,11397,10644,11761,4180,7817,1389,212,25,3
758,3,2,2038,2961,17677,1,6,1,1,1080,0,0,400,680,453,627,0,0,0,400,0,0,453,227,258,822,0,0,0,400,0,0,258,422,0,0,0,2,31,2,1,0,2,1,0,0,0,12,28.5,4459,745,0,7399,14570,13761,6313,18271,68,8235,1715,143,31,26
759,0,2,6663,692,35472,2,8,2,0,4987,615,615,650,3108,3723,1265,615,0,0,650,0,615,3108,0,4337,1879,0,615,0,650,0,615,3108,0,0,0,1,2,48,2,1,0,4,1,1,0,0,24,47.5,4285,716,12422,15316,12191,0,0,93523,3922,3902,3920,121,48,13
760,0,1,5240,1376,5935,3,5,4,1,720,0,0,0,720,720,0,0,0,0,0,0,0,720,0,0,720,0,0,0,0,0,0,0,720,0,0,0,1,35,0,0,0,5,1,0,0,0,5,17.8,0,0,0,4971,0,0,0,15279,10773,20487,73286,1016,35,11
761,0,1,6430,241,7390,2,6,3,1,1450,0,0,0,1450,1450,0,0,0,0,0,0,0,1450,0,242,1450,0,0,0,0,0,0,0,1450,0,0,0,2,21,2,0,0,1,1,0,0,0,8,21,2656,444,0,4735,579,4093,0,15808,0,0,68326,664,21,23
762,1,5,6564,838,4466,1,7,1,1,866,0,0,0,866,866,0,0,0,0,0,0,0,866,0,347,866,0,0,0,0,0,0,0,866,0,0,0,1,23,2,0,1,2,1,0,0,0,7,13.5,0,0,0,3208,1598,0,0,10433,6550,0,46395,515,23,4
763,0,2,6746,236,2234,9,11,4,0,1216,0,0,0,1216,1216,0,0,0,0,0,0,0,1216,0,0,1216,0,0,0,0,0,0,0,1216,1,0,1,1,65,1,1,0,2,0,1,0,0,24,65,0,0,0,2357,0,0,1796,3469,7295,3078,4912,9,65,65
764,1,5,6362,1053,1931,1,3,4,0,677,0,0,0,677,677,0,0,0,0,0,0,0,677,0,677,677,0,0,0,0,0,0,0,677,0,0,0,1,30,2,0,0,1,0,0,0,0,13,30,0,159,0,934,329,1470,2589,1267,6336,12087,8607,234,30,12
765,0,2,5970,1074,4661,3,2,1,1,1588,504,0,0,1084,1462,126,378,126,0,0,0,0,1084,0,0,1588,0,504,0,0,0,0,0,1084,0,0,0,1,66,1,0,0,1,1,1,0,0,8,66,0,0,0,2986,0,0,0,12916,10278,16201,70041,938,66,40
766,0,2,6427,827,6972,2,5,2,0,7200,1040,1440,400,4320,4720,2480,0,1040,400,0,0,1440,4320,0,1700,7200,0,1040,0,400,0,1440,0,4320,0,0,0,2,50,2,0,0,3,1,0,0,0,22,28,2431,406,0,2991,2662,0,0,18135,5672,9587,6332,164,50,16
767,1,2,4658,1611,13160,3,1,1,1,710,0,0,0,710,532,177,0,0,0,0,0,0,532,177,177,710,0,0,0,0,0,0,0,710,0,0,1,1,82,1,0,0,1,0,1,0,0,6,82,0,0,0,10559,4147,0,24040,6156,3743,18792,0,219,82,36
768,0,3,5025,1295,20017,1,5,2,0,1999,0,0,0,1999,1999,0,0,0,0,0,0,0,1999,0,1999,0,0,0,0,0,0,0,1999,0,0,0,1,2,37,1,1,0,7,1,0,1,1,11,16.4285714285714,5477,501,3429,4934,10129,16022,9557,27656,3385,12371,9481,284,37,1
769,3,2,1369,3509,25986,1,10,3,1,4968,0,0,400,4568,4568,400,0,0,0,400,0,0,4568,0,4568,400,0,0,0,400,0,0,4568,0,0,0,0,1,35,1,1,0,5,1,0,0,0,23,16.4,4563,762,0,3702,31281,20726,11490,21464,11979,0,0,116,35,1
770,0,2,3205,1594,7451,4,11,3,1,5124,0,2562,400,2162,2162,2962,0,0,0,400,0,2562,2162,0,4724,2962,0,0,0,400,0,2562,2162,0,0,0,1,1,77,1,0,0,1,0,1,0,0,8,77,2020,591,4046,6653,3325,0,1574,13871,0,18592,38106,551,77,23
771,3,2,498,4337,4694,2,8,4,0,768,0,0,0,768,768,0,0,0,0,0,0,0,768,0,0,768,0,0,0,0,0,0,0,768,0,0,1,1,35,1,1,1,5,1,0,1,1,7,18.8,0,0,0,3497,0,0,2762,9757,7089,7406,587,228,35,2
772,1,5,4546,1778,3352,1,1,1,1,574,0,0,0,574,574,0,0,0,0,0,0,0,574,0,0,574,0,0,0,0,0,0,0,574,0,0,1,1,30,1,1,0,4,1,0,0,1,4,20,0,0,2978,2112,0,0,2830,6495,5042,0,0,49,30,3
773,0,4,4272,1932,5776,2,1,1,1,1132,0,0,0,1132,1132,0,0,0,0,0,0,0,1132,0,226,1132,0,0,0,0,0,0,0,1132,0,0,0,1,26,0,0,0,3,1,0,0,1,4,11.3333333333333,0,0,0,3180,4292,0,0,12236,8807,16749,86914,1093,26,2
774,0,2,2554,2350,19161,1,9,2,1,1938,0,0,400,1538,1538,400,0,0,0,400,0,0,1538,0,1538,400,0,0,0,400,0,0,1538,0,0,0,0,2,50,2,1,0,3,1,0,0,0,22,39.6666666666667,6514,596,4079,9414,20434,0,0,35531,6299,31562,24174,603,50,20
775,0,2,5714,1232,14453,1,8,1,1,5931,1977,0,400,3554,5037,894,1483,494,0,400,0,0,3554,0,5531,894,1483,494,0,400,0,0,3554,0,0,0,1,2,48,2,1,0,4,1,0,0,0,16,32.25,3612,603,4129,3714,13449,0,0,32151,0,24403,49273,716,48,14
776,0,2,4286,892,16342,1,5,3,1,3000,1370,0,250,1380,1723,1278,343,1028,0,250,0,0,1380,0,1026,2485,0,1370,0,250,0,0,515,865,0,0,1,2,74,1,1,0,2,0,1,0,0,8,72.5,3556,594,0,9168,3471,9989,9316,23815,8866,10487,8799,349,74,71
777,1,2,6817,757,11553,2,1,4,0,2087,696,0,0,1391,1391,696,0,696,0,0,0,0,1391,0,261,2087,0,696,0,0,0,0,0,1391,0,0,1,1,25,1,1,0,5,0,0,0,0,8,11.6,4080,0,0,4195,1287,13087,0,20850,7084,10828,520,31,25,1
778,2,5,2245,119,5451,4,5,2,0,913,0,0,0,913,913,0,0,0,0,0,0,0,913,0,0,913,0,0,0,0,0,0,0,913,0,0,0,1,65,2,1,0,2,1,1,1,0,13,65,0,0,0,2712,0,5231,4469,6187,4425,14404,3191,237,65,65
779,2,5,2115,1435,5132,2,5,2,1,583,0,0,0,583,583,0,0,0,0,0,0,0,583,0,194,583,0,0,0,0,0,0,0,583,0,0,0,1,54,2,1,0,2,1,0,0,0,6,54,0,387,0,2266,1963,5046,3516,4719,9417,7036,8320,209,54,54
780,2,2,923,763,9444,4,3,1,1,1764,0,0,250,1514,0,1764,0,0,0,250,0,0,0,1514,0,1764,0,0,0,250,0,0,0,1514,0,0,1,1,55,2,1,1,5,1,0,0,0,23,35.4,0,452,0,3934,0,0,660,27629,25500,29099,3025,560,55,2
781,0,1,3693,1616,18152,3,6,4,0,624,0,0,0,624,624,0,0,0,0,0,0,0,624,0,312,624,0,0,0,0,0,0,0,624,0,0,1,1,74,1,0,0,3,1,1,0,1,3,38.3333333333333,0,0,9094,4178,12468,15802,0,29487,1246,3365,5520,254,74,3
782,0,2,6656,698,22933,2,1,2,0,3551,788,788,400,1576,1400,2151,0,788,0,400,0,788,1400,175,0,3551,0,788,0,400,0,788,0,1576,0,0,0,2,53,2,1,0,4,1,0,0,0,15,34,4694,784,5366,7640,0,14466,0,56141,5061,12187,2185,128,53,16
783,0,2,3659,1568,4677,4,6,1,1,1450,0,0,0,1450,1450,0,0,0,0,0,0,0,1450,0,0,1450,0,0,0,0,0,0,0,1450,0,0,1,2,45,1,0,1,1,1,1,1,1,3,45,4091,0,0,3740,0,0,0,12218,7739,38853,71846,1151,45,15
