DOEID,HBUSNESS,OTHWORK,ATHOME,HHSEX,HHAGE,EMPLOYHH,SPOUSE,SDESCENT,NHSLDMEM,AGEHHMEM1,AGEHHMEM2,AGEHHMEM3,AGEHHMEM4,AGEHHMEM5,AGEHHMEM6,AGEHHMEM7,AGEHHMEM8,AGEHHMEM9,AGEHHMEM10,AGEHHMEM11,AGEHHMEM12,AGEHHMEMY,WORKPAY,RETIREPY,CASHBEN,NCASHBEN,MONEYPY
4223,0,0,1,1,64,1,0,0,1,64,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,7
4224,0,0,1,1,56,1,0,0,1,56,99,99,99,99,99,99,99,99,99,99,99,99,0,1,1,1,5
4225,0,0,0,2,33,2,0,0,1,33,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,12
4226,0,0,1,2,78,1,1,0,2,78,99,99,99,99,99,99,99,99,99,99,99,77,1,1,0,0,8
4227,1,0,1,2,50,2,1,0,2,50,99,99,99,99,99,99,99,99,99,99,99,44,1,0,0,0,12
4228,0,0,1,2,42,2,0,1,6,42,21,19,16,11,99,99,99,99,99,99,99,2,1,0,1,1,8
4229,0,0,0,2,46,2,0,0,3,46,13,99,99,99,99,99,99,99,99,99,99,11,1,0,0,0,24
4230,0,0,1,2,36,2,1,0,7,36,32,9,7,6,1,99,99,99,99,99,99,1,1,0,0,0,24
4231,0,0,0,2,32,2,0,0,1,32,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,14
4232,0,0,1,2,75,1,1,0,2,75,99,99,99,99,99,99,99,99,99,99,99,66,0,1,0,0,8
4233,0,0,1,2,51,1,0,0,1,51,99,99,99,99,99,99,99,99,99,99,99,99,0,0,1,0,5
4234,0,0,0,1,48,2,0,0,1,48,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,9
4235,0,0,1,1,80,1,0,1,1,80,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,4
4236,0,1,1,2,53,2,1,0,2,53,99,99,99,99,99,99,99,99,99,99,99,52,1,0,0,0,13
4237,0,0,0,1,47,2,0,0,2,47,99,99,99,99,99,99,99,99,99,99,99,15,1,0,0,0,9
4238,0,0,0,1,45,2,1,0,3,45,45,99,99,99,99,99,99,99,99,99,99,12,1,0,0,0,11
4239,0,0,1,2,40,2,1,0,4,40,37,14,99,99,99,99,99,99,99,99,99,12,1,0,0,0,8
4240,0,0,0,1,53,2,1,0,1,53,99,99,99,99,99,99,99,99,99,99,99,99,1,0,0,0,14
4241,0,0,0,1,31,2,0,1,4,31,12,9,99,99,99,99,99,99,99,99,99,2,1,0,0,0,8
4242,0,0,0,1,21,0,0,0,3,21,21,99,99,99,99,99,99,99,99,99,99,20,1,0,0,0,5
4243,0,0,0,2,77,1,0,0,1,77,99,99,99,99,99,99,99,99,99,99,99,99,0,1,0,0,20
4244,0,0,0,1,35,0,1,0,5,35,40,12,9,99,99,99,99,99,99,99,99,6,1,0,0,0,19
4245,1,0,0,2,51,2,1,0,2,51,99,99,99,99,99,99,99,99,99,99,99,44,1,0,0,0,20
4246,0,0,0,1,27,1,1,0,4,27,35,9,99,99,99,99,99,99,99,99,99,3,1,0,0,0,11
4247,0,0,0,2,39,1,1,0,3,39,27,99,99,99,99,99,99,99,99,99,99,1,1,0,0,0,13
