DOEID,LRGSTATE,TYPEHUQ,HD65,CD65,KWH,WALLTYPE,YEARMADE,URBRUR,UGASHERE,TOTSQFT,TOTBASESQFT,TOTATTCSQFT,TOTGARGSQFT,TOTRHMSQFT,TOTHSQFT,TOTUSQFT,BASHSQFT,BASUSQFT,GARHSQFT,GARUSQFT,ATTHSQFT,ATTUSQFT,RHMHSQFT,RHMUSQFT,TOTCSQFT,TOTUCSQFT,BASCSQFT,BASUCSQFT,GARCSQFT,GARUCSQFT,ATTCSQFT,ATTUCSQFT,RHMCSQFT,RHMUCSQFT,HBUSNESS,OTHWORK,ATHOME,HHSEX,HHAGE,EMPLOYHH,SPOUSE,SDESCENT,NHSLDMEM,WORKPAY,RETIREPY,CASHBEN,NCASHBEN,MONEYPY,AVGAGEHH,BTUEL,BTUNG,BTU,AGEHHMEM1,AGEHHMEMY
3292,0,2,718,4879,12155,7,3,1,1,1691,0,0,0,1691,1691,0,0,0,0,0,0,0,1691,0,1691,0,0,0,0,0,0,0,1691,0,0,0,1,1,88,1,0,0,1,0,1,0,0,7,88,41472,10907,52379,88,14
3293,0,5,6881,618,11977,3,10,2,1,997,0,0,0,997,997,0,0,0,0,0,0,0,997,0,249,997,0,0,0,0,0,0,0,997,0,0,1,1,76,1,1,0,2,0,1,0,0,7,71.5,40866,58948.5233,99814.5233,76,67
3294,3,2,1804,3394,14147,1,4,3,1,1372,0,0,250,1122,1122,250,0,0,0,250,0,0,1122,0,1122,250,0,0,0,250,0,0,1122,0,0,0,1,2,73,1,1,0,2,0,1,0,0,12,69.5,48270,24387,72657,73,66
3295,2,2,951,713,6506,4,5,3,1,1548,0,0,400,1148,1148,400,0,0,0,400,0,0,1148,0,0,1548,0,0,0,400,0,0,0,1148,0,0,0,2,50,2,0,0,1,1,0,0,0,9,50,22198,26240,48438,50,8
3296,2,4,2098,1403,4453,2,1,1,1,924,0,0,0,924,924,0,0,0,0,0,0,0,924,0,0,924,0,0,0,0,0,0,0,924,0,0,0,1,60,2,0,1,3,1,0,0,0,5,60.33333333,15194,40337,55531,60,59
3297,3,5,2019,3132,4182,1,5,2,1,609,0,0,0,609,203,406,0,0,0,0,0,0,203,406,609,0,0,0,0,0,0,0,609,0,0,0,0,2,39,2,0,0,1,1,0,0,0,14,39,14270,13647.19899,27917.19899,39,26
3298,0,2,6637,707,6325,3,10,3,1,5768,1336,1148,400,2884,2884,2884,0,1336,0,400,0,1148,2884,0,596,5768,0,1336,0,400,0,1148,0,2884,0,0,0,1,38,0,1,0,4,1,0,0,0,22,22.75,21581,67624,89205,38,6
3299,0,2,2625,2118,6381,2,3,3,0,1976,0,988,0,988,988,988,0,0,0,0,0,988,988,0,1976,988,0,0,0,0,0,988,988,0,0,0,0,2,58,2,0,0,1,1,0,0,0,8,58,21772,41896.17815,63668.17815,58,4
3300,1,4,4825,1362,6042,1,3,1,1,1168,52,0,0,1116,1116,52,0,52,0,0,0,0,1116,0,584,1168,0,52,0,0,0,0,0,1116,0,0,1,1,58,0,1,0,3,1,0,0,0,6,53.66666667,20615,5248,25863,58,38
3301,0,2,5464,998,10650,2,3,2,1,2310,1092,0,0,1218,974,1336,0,1092,0,0,0,0,974,244,2310,1092,0,1092,0,0,0,0,1218,0,0,0,0,1,61,2,1,0,2,1,0,0,1,7,60.5,36338,71310,107648,61,60
3302,2,2,2342,629,4756,4,2,1,1,1613,0,0,400,1213,1213,400,0,0,0,400,0,0,1213,0,0,1613,0,0,0,400,0,0,0,1213,0,0,0,1,37,2,0,0,3,1,0,0,0,17,20.66666667,16227,61226,77453,37,12
